,Bacteria,Chemicals,Importance_random_forest,CV_random_forest,R_squared_random_forest
257,204,Naftalen,0.201690179433352,-0.18068039015147241,0.31658596590613
258,204,Acenaften,0.2004110985644454,-0.18068039015147241,0.31658596590613
259,205,"['HCHO', 'Rb']",0.197130622233475,-0.07232862129446072,0.5436201228692807
260,205,"['Li', 'Antracen']",0.19144816492563554,-0.07232862129446072,0.5436201228692807
261,205,"['Al', 'Fe']",0.21008809469501044,-0.07232862129446072,0.5436201228692807
262,205,"['V', 'As']",0.21324778752271656,-0.07232862129446072,0.5436201228692807
263,205,"['Cr', 'Fe']",0.20274127586448631,-0.07232862129446072,0.5436201228692807
264,205,"['Mn', 'Fe']",0.24044220192688692,-0.07232862129446072,0.5436201228692807
265,205,"['Fe', 'Al', 'Cr', 'Mn']",0.21507576995185695,-0.07232862129446072,0.5436201228692807
266,205,"['Se', 'Mo']",0.21695298383355444,-0.07232862129446072,0.5436201228692807
267,205,EC,0.21061950074397562,-0.07232862129446072,0.5436201228692807
268,207,Sb,0.1911863923022381,0.15964834743680423,0.7213555323988755
269,216,Sb,0.26121161230393297,-0.15070891546908438,0.5808054081576063
270,217,Sb,0.24274936250020407,-0.1262501002064993,0.549687293150718
271,218,"['Li', 'Antracen']",0.19139458377577756,-0.20178637161279633,0.40831342015483585
272,218,"['V', 'As']",0.2135640988188917,-0.20178637161279633,0.40831342015483585
273,218,"['Cr', 'Fe']",0.20879762288149972,-0.20178637161279633,0.40831342015483585
274,218,"['Fe', 'Al', 'Cr', 'Mn']",0.2398034617375835,-0.20178637161279633,0.40831342015483585
275,218,"['Se', 'Mo']",0.21480289868091662,-0.20178637161279633,0.40831342015483585
276,218,"['Fluoren', 'Fluoranten']",0.23047388903691324,-0.20178637161279633,0.40831342015483585
277,218,pH,0.23239308616878984,-0.20178637161279633,0.40831342015483585
278,218,EC,0.19441722147434948,-0.20178637161279633,0.40831342015483585
279,218,TOC,0.22959372455087412,-0.20178637161279633,0.40831342015483585
280,218,B,0.23454049364192497,-0.20178637161279633,0.40831342015483585
281,218,Ni,0.2458606719249572,-0.20178637161279633,0.40831342015483585
282,218,Ga,0.26562503094933965,-0.20178637161279633,0.40831342015483585
283,218,Sr,0.2290936381688301,-0.20178637161279633,0.40831342015483585
284,218,Sb,0.23719392452865073,-0.20178637161279633,0.40831342015483585
285,218,Ba,0.2406687835975152,-0.20178637161279633,0.40831342015483585
286,218,Naftalen,0.2641476227574031,-0.20178637161279633,0.40831342015483585
287,218,Acenaften,0.2332865294748525,-0.20178637161279633,0.40831342015483585
288,219,Sb,0.23942571296434967,-0.031498795435658034,0.5806690608026144
289,222,Ga,0.25694322401179215,-0.03422331557640068,0.538828653477259
290,225,Sb,0.24563295449201183,-0.27170205017180993,0.5115310307276607
291,229,Sr,0.30241209070538977,0.19565865102855107,0.7188472610168593
292,233,"['Se', 'Mo']",0.1971052598820171,-0.2131605460669117,0.48923729049360076
293,236,Ga,0.2670166243432509,-0.152190624515262,0.5727246287669707
294,240,Sr,0.27640988132513533,0.12635384671339422,0.7311219676885716
295,241,Sb,0.2976868518932262,-0.164739160763268,0.6031269175792044
296,242,Sr,0.19151993757924324,0.13171286267976257,0.5920634155600959
297,245,Sb,0.2750679671694437,-0.1361721731214407,0.49556883155952147
298,248,Sb,0.20051017028420048,-0.3230035852906965,0.3931145069250692
299,248,Ba,0.22467542133722684,-0.3230035852906965,0.3931145069250692
300,250,"['Se', 'Mo']",0.21363498920076707,0.08204355604451352,0.539927383798549
301,250,pH,0.19052442970410755,0.08204355604451352,0.539927383798549
302,250,EC,0.20123155358702816,0.08204355604451352,0.539927383798549
303,250,TOC,0.19361706470250217,0.08204355604451352,0.539927383798549
304,250,B,0.19513139635953336,0.08204355604451352,0.539927383798549
305,250,Ga,0.19217038392819819,0.08204355604451352,0.539927383798549
306,250,Sr,0.19571045144875,0.08204355604451352,0.539927383798549
307,250,Sb,0.25987901670588,0.08204355604451352,0.539927383798549
308,250,Ba,0.2775688851400432,0.08204355604451352,0.539927383798549
309,250,Naftalen,0.21439312574692626,0.08204355604451352,0.539927383798549
310,250,Acenaften,0.19291046720877736,0.08204355604451352,0.539927383798549
311,251,Sb,0.25705684210961766,-0.26010477566350065,0.23783227286140796
312,253,Sb,0.22413568379766902,-0.3187249631478648,0.4774398791056482
313,261,Sb,0.21877491409652383,-0.2555342915330623,0.33180497237359863
314,264,Sb,0.2924313254122032,-0.07584678543407675,0.5537742394628031
315,265,Sb,0.20640312688599283,-0.18446632565328103,0.32213560098158756
316,268,Sb,0.2134606969485937,-0.20867575697794405,0.3055085482125458
317,275,Ni,0.22451405105250088,-0.02992594853286845,0.49376731430447174
318,275,Ga,0.1994472624224498,-0.02992594853286845,0.49376731430447174
319,275,Sb,0.19181437632032727,-0.02992594853286845,0.49376731430447174
320,275,Naftalen,0.19207602136818258,-0.02992594853286845,0.49376731430447174
321,278,"['Fe', 'Al', 'Cr', 'Mn']",0.19144018225730997,-0.2184707613685377,0.42055163494964376
322,278,"['Se', 'Mo']",0.2278139898408611,-0.2184707613685377,0.42055163494964376
323,278,Sb,0.21320901362195932,-0.2184707613685377,0.42055163494964376
324,278,Naftalen,0.19128022427931568,-0.2184707613685377,0.42055163494964376
325,281,Ba,0.2051333073080257,-0.04772873799851518,0.5683778661478256
326,283,"['Se', 'Mo']",0.2103366151569228,-0.03659919327570149,0.4835933243171672
327,283,"['Fluoren', 'Fluoranten']",0.19142067579221755,-0.03659919327570149,0.4835933243171672
328,283,pH,0.20896568784682945,-0.03659919327570149,0.4835933243171672
329,283,EC,0.20052527016542665,-0.03659919327570149,0.4835933243171672
